2025年4月5日，23：44

=============== 功率分量数据 (0-23时) ===============
Time	DW	WM	HVAC	InfLoad	ESS_ch	EV_ch	PV	ESS_dis	EV_dis	Grid	Price
1	0.00	0.00	0.00	35.00	0.00	0.00	25.50	0.00	0.00	0.00	100.00
2	0.00	0.00	0.00	32.50	0.00	0.00	38.40	0.00	0.00	0.00	120.00
3	0.00	0.00	0.00	29.00	0.00	0.00	48.60	0.00	0.00	0.00	110.00
4	0.00	0.00	0.00	25.50	0.00	0.00	64.50	0.00	0.00	0.00	105.00
5	0.00	0.00	0.00	23.00	0.00	0.00	81.00	0.00	0.00	0.00	130.00
6	0.00	0.00	0.00	85.00	0.00	0.00	97.50	0.00	0.00	0.00	140.00
7	0.00	0.00	0.00	130.00	0.00	0.00	129.00	0.00	0.00	0.00	150.00
8	0.00	0.00	0.00	165.00	0.00	0.00	160.50	0.00	0.00	0.00	160.00
9	0.00	0.00	0.00	198.00	0.00	0.00	177.00	0.00	0.00	0.00	140.00
10	0.00	0.00	0.00	230.00	0.00	0.00	193.50	0.00	0.00	0.00	130.00
11	0.00	0.00	0.00	210.00	0.00	0.00	162.00	0.00	0.00	0.00	120.00
12	0.00	0.00	0.00	192.00	0.00	0.00	145.50	0.00	0.00	0.00	110.00
13	0.00	0.00	0.00	175.00	0.00	0.00	129.00	0.00	0.00	0.00	100.00
14	0.00	0.00	0.00	158.00	0.00	0.00	112.50	0.00	0.00	0.00	95.00
15	0.00	0.00	0.00	140.00	0.00	0.00	96.00	0.00	0.00	0.00	90.00
16	0.00	0.00	0.00	120.00	0.00	0.00	64.50	0.00	0.00	0.00	85.00
17	0.00	0.00	0.00	105.00	0.00	0.00	48.00	0.00	0.00	0.00	100.00
18	0.00	0.00	0.00	90.00	0.00	0.00	0.00	0.00	0.00	0.00	120.00
19	0.00	0.00	0.00	68.00	0.00	0.00	0.00	0.00	0.00	0.00	140.00
20	0.00	0.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	160.00
21	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	150.00
22	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	0.00	0.00	130.00
23	0.00	0.00	0.00	27.00	0.00	0.00	0.00	0.00	0.00	0.00	110.00
24	0.00	0.00	0.00	23.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00


=============== ESS和EV的SOC状态 ===============
Time	ESS_SOC	EV_SOC
1	7.20	6.00
2	0.00	6.00
3	0.00	6.00
4	0.00	6.00
5	0.00	6.00
6	0.00	6.00
7	0.00	6.00
8	0.00	6.00
9	0.00	6.00
10	0.00	6.00
11	0.00	6.00
12	0.00	6.00
13	0.00	6.00
14	0.00	6.00
15	0.00	6.00
16	0.00	6.00
17	0.00	6.00
18	0.00	6.00
19	0.00	6.00
20	0.00	6.00
21	0.00	6.00
22	0.00	6.00
23	0.00	6.00
24	0.00	6.00
